contig,sample
AalW_tig00083928-10-131450_plv,AalW
Aved_tig00048883-10-193450_plv,Aved
Aved_tig00084897-10-150130_plv,Aved
Bjer_tig00027726-10-154320_plv,Bjer
Ejby_tig00023995-10-186920_plv,Ejby
Lyne_tig00046032-10-146580_plv,Lyne
Lyne_tig00060056-10-166770_plv,Lyne
Mari_tig00039850-10-191400_plv,Mari
Rand_tig00054083-10-84480_plv,Rand
Rand_tig00055912-10-108660_plv,Rand
Rand_tig00813462-10-110980_plv,Rand
Ribe_tig00030249-10-170680_plv,Ribe
Vibo_tig00019442-10-136670_plv,Vibo
Vibo_tig00024931-10-107240_plv,Vibo
